,links,titulos
163,https://noticias.uol.com.br/politica/ultimas-noticias/2018/04/23/relator-envia-recurso-de-lula-para-julgamento-pela-2-turma-do-stf.htm,UOL Notícias - Política
164,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/23/franca-confirma-troca-no-comando-da-pm-de-sao-paulo.htm," PT pode ficar à vontade para decidir sobre candidatura, diz Lula em carta "
165,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/23/nao-e-barbosa-que-diz-se-vai-ser-candidato-e-o-partido-diz-marcio-franca.htm,Estadão Conteúdo - Política
166,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/23/pre-candidatos-ao-bandeirantes-fazem-romaria-a-temer-em-sp.htm, Fachin envia recurso de Lula contra prisão para 2ª Turma do STF 
167,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/bbc/2018/04/23/como-pesquisa-eleitoral-com-2-mil-pessoas-indica-o-voto-de-146-milhoes.htm,UOL Notícias - Política
168,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/2018/04/23/com-lula-preso-pt-se-reune-para-planejar-campanha-do-ex-presidente.htm, França confirma troca no comando da PM de SP; secretário de Segurança fica 
169,https://www1.folha.uol.com.br/poder/2018/04/eleicoes-criam-rachas-entre-aliados-historicos-nos-estados.shtml,do UOL
170,https://www1.folha.uol.com.br/poder/2018/04/psl-de-bolsonaro-pede-mais-verba-de-fundo-que-quer-extinguir.shtml," É o PSB que vai decidir se Barbosa será candidato, diz Márcio França "
171,http://painel.blogfolha.uol.com.br/?p=22120,do UOL
172,http://painel.blogfolha.uol.com.br/?p=22132, Pré-candidatos ao Bandeirantes fazem romaria a Temer em SP 
173,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/22/bolsonaro-critica-pgr-por-denuncia-de-racismo-em-entrevista-a-band.htm,Estadão Conteúdo - Política
174,https://noticias.uol.com.br/politica/eleicoes/2018/noticias/agencia-estado/2018/04/22/medo-de-escandalos-inibe-doacoes-de-eleitores.htm, Como pesquisa eleitoral com 2 mil pessoas indica o voto de 146 milhões 
